bwt_month,bwt_day,bwt_hour,cv_time_avg,xcv_time_avg,pv_time_avg,xpv_time_avg,pv_ready_lanes_time_avg,ped_time_avg,ped_ready_lanes_time_avg
1,0,0,0,0,33,5,19,5,3
1,0,1,0,0,23,5,15,5,3
1,0,2,0,0,18,5,13,5,3
1,0,3,0,0,20,5,14,5,3
1,0,4,0,0,23,5,18,6,3
1,0,5,0,0,28,9,24,11,4
1,0,6,0,0,40,10,34,21,8
1,0,7,0,0,31,8,26,16,16
1,0,8,0,0,31,8,25,13,13
1,0,9,0,0,26,8,23,13,13
1,0,10,0,0,31,11,26,16,16
1,0,11,0,0,36,11,28,16,16
1,0,12,0,0,39,10,30,15,15
1,0,13,0,0,46,10,38,16,16
1,0,14,0,0,50,10,39,20,20
1,0,15,0,0,50,11,35,13,0
1,0,16,0,0,41,10,30,9,0
1,0,17,0,0,38,11,31,5,0
1,0,18,0,0,35,9,29,5,0
1,0,19,0,0,31,9,26,6,0
1,0,20,0,0,31,9,23,9,0
1,0,21,0,0,26,6,18,6,0
1,0,22,0,0,23,6,16,5,0
1,0,23,0,0,20,5,10,5,0
1,1,0,0,0,13,5,6,5,0
1,1,1,0,0,10,5,5,5,0
1,1,2,0,0,13,5,8,5,0
1,1,3,0,0,13,5,8,5,0
1,1,4,0,0,14,5,9,6,0
1,1,5,0,0,18,5,13,8,0
1,1,6,0,0,21,6,15,9,0
1,1,7,0,0,29,8,20,11,11
1,1,8,0,0,23,8,15,14,14
1,1,9,0,0,21,8,15,19,19
1,1,10,0,0,25,9,20,21,21
1,1,11,0,0,29,10,21,21,21
1,1,12,0,0,31,11,24,23,23
1,1,13,0,0,33,10,25,23,23
1,1,14,0,0,31,10,24,24,24
1,1,15,0,0,29,10,23,15,4
1,1,16,0,0,26,9,18,13,4
1,1,17,0,0,29,9,20,9,4
1,1,18,0,0,25,10,16,6,4
1,1,19,0,0,28,14,15,6,3
1,1,20,0,0,29,6,20,5,4
1,1,21,0,0,18,6,13,5,1
1,1,22,0,0,11,5,8,5,1
1,1,23,0,0,10,5,6,5,1
