"datetime","state","location","aqi"
2019-06-16 09:00:05,"Washington","Aberdeen","11"
2019-06-16 09:00:05,"Washington","Anacortes","16"
2019-06-16 09:00:05,"Washington","Bellingham","14"
2019-06-16 09:00:05,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 09:00:05,"Washington","Cascade foothills of King County","30"
2019-06-16 09:00:05,"Washington","Cascade foothills of east King-Pierce counties","11"
2019-06-16 09:00:05,"Washington","Cheeka Peak",""
2019-06-16 09:00:05,"Washington","Chehalis","12"
2019-06-16 09:00:05,"Washington","Chelan","17"
2019-06-16 09:00:05,"Washington","Clarkston","36"
2019-06-16 09:00:05,"Washington","Colville","18"
2019-06-16 09:00:05,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 09:00:05,"Washington","Confederated Tribes & Bands of Yakama Nations","42"
2019-06-16 09:00:05,"Washington","Darrington","26"
2019-06-16 09:00:05,"Washington","Ellensburg","15"
2019-06-16 09:00:05,"Washington","Everett-Marysville-Lynnwood","1"
2019-06-16 09:00:05,"Washington","Inchelium",""
2019-06-16 09:00:05,"Washington","Kennewick","29"
2019-06-16 09:00:05,"Washington","Leavenworth","18"
2019-06-16 09:00:05,"Washington","Longview","8"
2019-06-16 09:00:05,"Washington","Makah Indian Tribe of Makah Indian Reservation","6"
2019-06-16 09:00:05,"Washington","Maple Falls","10"
2019-06-16 09:00:05,"Washington","Moses Lake","22"
2019-06-16 09:00:05,"Washington","Mount Vernon","3"
2019-06-16 09:00:05,"Washington","Mt. Rainier",""
2019-06-16 09:00:05,"Washington","Naches",""
2019-06-16 09:00:05,"Washington","Nespelem",""
2019-06-16 09:00:05,"Washington","Oak Harbor","6"
2019-06-16 09:00:05,"Washington","Olympia-Lacey-Tumwater","17"
2019-06-16 09:00:05,"Washington","Omak","28"
2019-06-16 09:00:05,"Washington","Port Angeles","10"
2019-06-16 09:00:05,"Washington","Port Townsend","14"
2019-06-16 09:00:05,"Washington","Pullman","14"
2019-06-16 09:00:05,"Washington","Raymond","7"
2019-06-16 09:00:05,"Washington","Seattle-Bellevue-Kent Valley","25"
2019-06-16 09:00:05,"Washington","Shelton","17"
2019-06-16 09:00:05,"Washington","Spokane","40"
2019-06-16 09:00:05,"Washington","Spokane Tribe of Spokane Reservation","17"
2019-06-16 09:00:05,"Washington","Sunnyside","33"
2019-06-16 09:00:05,"Washington","Tacoma-Puyallup","28"
2019-06-16 09:00:05,"Washington","Twisp","20"
2019-06-16 09:00:05,"Washington","Vancouver","21"
2019-06-16 09:00:05,"Washington","Walla Walla","18"
2019-06-16 09:00:05,"Washington","Wenatchee","22"
2019-06-16 09:00:05,"Washington","Winthrop","19"
2019-06-16 09:00:05,"Washington","Yacolt","13"
2019-06-16 09:00:05,"Washington","Yakima","21"
2019-06-16 10:00:05,"Washington","Aberdeen","8"
2019-06-16 10:00:05,"Washington","Anacortes","16"
2019-06-16 10:00:05,"Washington","Bellingham","16"
2019-06-16 10:00:05,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 10:00:05,"Washington","Cascade foothills of King County","30"
2019-06-16 10:00:05,"Washington","Cascade foothills of east King-Pierce counties","13"
2019-06-16 10:00:05,"Washington","Cheeka Peak",""
2019-06-16 10:00:05,"Washington","Chehalis","11"
2019-06-16 10:00:05,"Washington","Chelan","18"
2019-06-16 10:00:05,"Washington","Clarkston","38"
2019-06-16 10:00:05,"Washington","Colville","20"
2019-06-16 10:00:05,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 10:00:05,"Washington","Confederated Tribes & Bands of Yakama Nations","29"
2019-06-16 10:00:05,"Washington","Darrington","25"
2019-06-16 10:00:05,"Washington","Ellensburg","15"
2019-06-16 10:00:05,"Washington","Everett-Marysville-Lynnwood","0"
2019-06-16 10:00:05,"Washington","Inchelium",""
2019-06-16 10:00:05,"Washington","Kennewick","31"
2019-06-16 10:00:05,"Washington","Leavenworth","18"
2019-06-16 10:00:05,"Washington","Longview","9"
2019-06-16 10:00:05,"Washington","Makah Indian Tribe of Makah Indian Reservation","6"
2019-06-16 10:00:05,"Washington","Maple Falls","10"
2019-06-16 10:00:05,"Washington","Moses Lake","23"
2019-06-16 10:00:05,"Washington","Mount Vernon","3"
2019-06-16 10:00:05,"Washington","Mt. Rainier",""
2019-06-16 10:00:05,"Washington","Naches",""
2019-06-16 10:00:05,"Washington","Nespelem",""
2019-06-16 10:00:05,"Washington","Oak Harbor","6"
2019-06-16 10:00:05,"Washington","Olympia-Lacey-Tumwater","17"
2019-06-16 10:00:05,"Washington","Omak","26"
2019-06-16 10:00:05,"Washington","Port Angeles","10"
2019-06-16 10:00:05,"Washington","Port Townsend","15"
2019-06-16 10:00:05,"Washington","Pullman","13"
2019-06-16 10:00:05,"Washington","Raymond","7"
2019-06-16 10:00:05,"Washington","Seattle-Bellevue-Kent Valley","28"
2019-06-16 10:00:05,"Washington","Shelton","17"
2019-06-16 10:00:05,"Washington","Spokane","41"
2019-06-16 10:00:05,"Washington","Spokane Tribe of Spokane Reservation","18"
2019-06-16 10:00:05,"Washington","Sunnyside","36"
2019-06-16 10:00:05,"Washington","Tacoma-Puyallup","36"
2019-06-16 10:00:05,"Washington","Twisp","21"
2019-06-16 10:00:05,"Washington","Vancouver","19"
2019-06-16 10:00:05,"Washington","Walla Walla","17"
2019-06-16 10:00:05,"Washington","Wenatchee","22"
2019-06-16 10:00:05,"Washington","Winthrop","18"
2019-06-16 10:00:05,"Washington","Yacolt","13"
2019-06-16 10:00:05,"Washington","Yakima","21"
2019-06-16 11:00:05,"Washington","Aberdeen","8"
2019-06-16 11:00:05,"Washington","Anacortes","15"
2019-06-16 11:00:05,"Washington","Bellingham","17"
2019-06-16 11:00:05,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 11:00:05,"Washington","Cascade foothills of King County","29"
2019-06-16 11:00:05,"Washington","Cascade foothills of east King-Pierce counties","16"
2019-06-16 11:00:05,"Washington","Cheeka Peak","16"
2019-06-16 11:00:05,"Washington","Chehalis","11"
2019-06-16 11:00:05,"Washington","Chelan","18"
2019-06-16 11:00:05,"Washington","Clarkston","35"
2019-06-16 11:00:05,"Washington","Colville","23"
2019-06-16 11:00:05,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 11:00:05,"Washington","Confederated Tribes & Bands of Yakama Nations","23"
2019-06-16 11:00:05,"Washington","Darrington","21"
2019-06-16 11:00:05,"Washington","Ellensburg","41"
2019-06-16 11:00:05,"Washington","Everett-Marysville-Lynnwood","2"
2019-06-16 11:00:05,"Washington","Inchelium",""
2019-06-16 11:00:05,"Washington","Kennewick","34"
2019-06-16 11:00:05,"Washington","Leavenworth","18"
2019-06-16 11:00:05,"Washington","Longview","9"
2019-06-16 11:00:05,"Washington","Makah Indian Tribe of Makah Indian Reservation","5"
2019-06-16 11:00:05,"Washington","Maple Falls","9"
2019-06-16 11:00:05,"Washington","Moses Lake","23"
2019-06-16 11:00:05,"Washington","Mount Vernon","3"
2019-06-16 11:00:05,"Washington","Mt. Rainier",""
2019-06-16 11:00:05,"Washington","Naches",""
2019-06-16 11:00:05,"Washington","Nespelem",""
2019-06-16 11:00:05,"Washington","Oak Harbor","5"
2019-06-16 11:00:05,"Washington","Olympia-Lacey-Tumwater","17"
2019-06-16 11:00:05,"Washington","Omak","30"
2019-06-16 11:00:05,"Washington","Port Angeles","10"
2019-06-16 11:00:05,"Washington","Port Townsend","17"
2019-06-16 11:00:05,"Washington","Pullman","13"
2019-06-16 11:00:05,"Washington","Raymond","7"
2019-06-16 11:00:05,"Washington","Seattle-Bellevue-Kent Valley","35"
2019-06-16 11:00:05,"Washington","Shelton","18"
2019-06-16 11:00:05,"Washington","Spokane","48"
2019-06-16 11:00:05,"Washington","Spokane Tribe of Spokane Reservation","18"
2019-06-16 11:00:05,"Washington","Sunnyside","36"
2019-06-16 11:00:05,"Washington","Tacoma-Puyallup","42"
2019-06-16 11:00:05,"Washington","Twisp","21"
2019-06-16 11:00:05,"Washington","Vancouver","15"
2019-06-16 11:00:05,"Washington","Walla Walla","17"
2019-06-16 11:00:05,"Washington","Wenatchee","22"
2019-06-16 11:00:05,"Washington","Winthrop","18"
2019-06-16 11:00:05,"Washington","Yacolt","14"
2019-06-16 11:00:05,"Washington","Yakima","17"
2019-06-16 12:00:05,"Washington","Aberdeen","9"
2019-06-16 12:00:05,"Washington","Anacortes","15"
2019-06-16 12:00:05,"Washington","Bellingham","17"
2019-06-16 12:00:05,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 12:00:05,"Washington","Cascade foothills of King County","26"
2019-06-16 12:00:05,"Washington","Cascade foothills of east King-Pierce counties","18"
2019-06-16 12:00:05,"Washington","Cheeka Peak","18"
2019-06-16 12:00:05,"Washington","Chehalis","11"
2019-06-16 12:00:05,"Washington","Chelan","18"
2019-06-16 12:00:05,"Washington","Clarkston","33"
2019-06-16 12:00:05,"Washington","Colville","23"
2019-06-16 12:00:05,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 12:00:05,"Washington","Confederated Tribes & Bands of Yakama Nations","20"
2019-06-16 12:00:05,"Washington","Darrington","13"
2019-06-16 12:00:05,"Washington","Ellensburg","27"
2019-06-16 12:00:05,"Washington","Everett-Marysville-Lynnwood","5"
2019-06-16 12:00:05,"Washington","Inchelium",""
2019-06-16 12:00:05,"Washington","Kennewick","37"
2019-06-16 12:00:05,"Washington","Leavenworth","18"
2019-06-16 12:00:05,"Washington","Longview","9"
2019-06-16 12:00:05,"Washington","Makah Indian Tribe of Makah Indian Reservation","6"
2019-06-16 12:00:05,"Washington","Maple Falls","9"
2019-06-16 12:00:05,"Washington","Moses Lake","23"
2019-06-16 12:00:05,"Washington","Mount Vernon","3"
2019-06-16 12:00:05,"Washington","Mt. Rainier",""
2019-06-16 12:00:05,"Washington","Naches",""
2019-06-16 12:00:05,"Washington","Nespelem",""
2019-06-16 12:00:05,"Washington","Oak Harbor","5"
2019-06-16 12:00:05,"Washington","Olympia-Lacey-Tumwater","17"
2019-06-16 12:00:05,"Washington","Omak","46"
