"state","stateid"
"Alabama","1"
"Alaska","2"
"Arizona","3"
"Arkansas","4"
"California","5"
"Colorado","6"
"Connecticut","7"
"Delaware","8"
"District of Columbia","9"
"Florida","10"
"Georgia","11"
"Hawaii","12"
"Idaho","13"
"Illinois","14"
"Indiana","15"
"Iowa","16"
"Kansas","17"
"Kentucky","18"
"Louisiana","19"
"Maine","20"
"Maryland","21"
"Massachusetts","22"
"Michigan","23"
"Minnesota","24"
"Mississippi","25"
"Missouri","26"
"Montana","27"
"Nebraska","28"
"Nevada","29"
"New Hampshire","30"
"New Jersey","31"
"New Mexico","32"
"New York","33"
"North Carolina","34"
"North Dakota","35"
"Ohio","36"
"Oklahoma","37"
"Oregon","38"
"Pennsylvania","39"
"Puerto Rico","40"
"Rhode Island","41"
"South Carolina","42"
"South Dakota","43"
"Tennessee","44"
"Texas","45"
"Utah","46"
"Vermont","47"
"Virginia","48"
"Washington","49"
"West Virginia","50"
"Wisconsin","51"
"Wyoming","52"
