fac_name,fac_title,fac_degree
"Abernethy, Neil",Associate Professor,PhD
"Anderson, Ben",Professor,MD
"Austin, Elena",Assistant Professor,"Doctor of Science, MSc"
"Averill, Michelle",Associate Teaching Professor,PhD
"Badshah, Akhtar",Lecturer,
"Baeten, Jared",Professor,"MD, PhD"
"Baker, Marissa",Assistant Professor,
"Balkus, Jennifer",Assistant Professor,"PhD, MPH"
"Baquero, Barbara",Associate Professor,
"Barlow, William",Research Professor,"PhD, MS, MA"
"Barnabas, Ruanne",Associate Professor,"DPhil, MSc"
"Barnhart, Scott",Professor,"MD, MPH"
"Barrington, Wendy",Associate Professor,"PhD, MPH"
"Baseman, Janet",Professor and Associate Dean,"MPH, PhD"
"Basu, Anirban",Professor,"PhD, MS, MS"
"Beima-Sofie, Kristin",Acting Assistant Professor,"PhD, MPH"
"Bezruchka, Stephen",Associate Teaching Professor,"MD, MPH"
"Brown, Elizabeth ",Research Professor,"ScD, MS"
"Browning, Sharon",Research Professor,PhD
"Brumback, Lyndia",Research Associate Professor,"PhD, MS"
"Bukusi, Elizabeth",Research Professor,"PhD, MPH, MM"
"Burbacher, Thomas",Professor,PhD
"Busch Isaksen, Tania",Associate Teaching Professor,PhD
"Campbell, Lee Ann",Professor,"PhD, MS"
"Cangelosi, Gerard",Professor,PhD
"Carone, Marco",Associate Professor,PhD
"Cave, Sarah",Associate Teaching Professor,MHA
"Celum, Connie",Professor,"MD, MPH, BA"
"Chan, Gary",Professor,PhD
"Chi, Donald",Professor,"PhD, DDS"
"Cohen, Martin",Teaching Professor,"ScD, SM"
"Collier, Sarah",Assistant Professor,
"Collins, Pamela",Professor,
"Condon, James",Associate Teaching Professor,"EdD, MS"
"Costa, Lucio",Professor,PharmD
"Cowan, James",Assistant Professor,"MD, MBA, MPH"
"Cui, Julia",Associate Professor,PhD
"Cunha-Cruz, Joana",Research Associate Professor,
"Denno, Donna",Professor,MD
"Drain, Paul",Associate Professor,"MD, MPH"
"Drake, Alison",Assistant Professor,"PhD, MPH"
"Drewnowski, Adam",Professor,"PhD, MA"
"Dugan, Jerome",Assistant Professor,
"Ebi, Kristie",Professor,"PhD, MPH, MS"
"Edwards, Melissa",Lecturer,MS
"Edwards, Todd",Associate Professor,"PhD, MA"
"Emond, Mary",Research Associate Professor,"PhD, MS"
"Enquobahrie, Daniel",Associate Professor,MD
"Errett, Nicole",Assistant Professor,"PhD, MSPH"
"Farquhar, Carey",Professor and Vice Dean for Education,MD
"Faustman, Elaine",Professor,PhD
"Feldacker, Caryl",Assistant Professor,"PhD, MPH"
"Fihn, Stephan",Professor,"MD, MPH"
"Fishman, Paul",Professor,"PhD, MA, MA"
"Fitzpatrick, Annette",Research Professor,"PhD, MA"
"Flaxman, Abraham",Associate Professor,PhD
"Fleming, Thomas",Professor,"PhD, MA"
"Fohner, Alison ",Assistant Professor,
"Foster, Katherine",Assistant Professor,
"Franklin, Gary",Research Professor,"MD, MPH"
"Fretts, Mandy",Associate Professor,"PhD, MPH"
"Gallagher, Evan",Professor,"PhD, MEM"
"Ganti, Anjulie",Associate Teaching Professor,
"Garrison, Michelle",Associate Professor,"PhD, MPH"
"Gilbert, Peter",Research Professor,"PhD, MS"
"Gleason, Richard",Associate Teaching Professor,MSPH
"Gloster, Anne-Marie",Assistant Teaching Professor,"PhD, MPH"
"Gloyd, Stephen",Professor,"MD, MPH"
"Godwin, Hilary",Professor and Dean,
"Graham, Susan",Associate Professor,"PhD, MD, MPH"
"Gray, Kristen",Research Assistant Professor,"PhD, MS"
"Grossman, David",Professor,"MD, MPH"
"Guthrie, Brandon",Assistant Professor,"PhD, MPH"
"Hagopian, Amy",Professor,"MHA, PhD"
"Hajat, Anjum",Assistant Professor,"PhD, MPH"
"Halloran, Elizabeth ",Professor,"DSc, MD, MPH"
"Hannon, Peggy",Professor,"PhD, MPH"
"Harris, Cristen",Associate Teaching Professor,
"Harris, Jeffrey",Professor,"MD, MPH"
"Hartgraves, John",Associate Teaching Professor,
"Hawes, Stephen ",Professor,"PhD, MS"
"Heagerty, Patrick",Professor,"PhD, MS"
"Hebert, Paul",Research Professor,PhD
"Heckbert, Susan",Professor,"MD, PhD"
"Heffron, Renee",Associate Professor,"PhD, MPH"
"Helfrich, Christian",Research Associate Professor,"BA, MPH, PhD"
"Hemingway, Susan",Professor,PhD
"Herbeck, Joshua",Assistant Professor,PhD
"Hernandez Prado, Bernardo",Associate Professor,"DSc, MS"
"Hess, Jeremy",Professor,"MD, MPH"
"Horimoto, Andrea",Acting Instructor,
"Hu, Jane",Lecturer,
"Hughes, James",Professor,"PhD, MS"
"Inoue, Lurdes",Professor,"PhD, MS, MS"
"Jain, Deepti",Acting Instructor,"PhD, MSc"
"Jaspan, Heather",Associate Professor,"MD, PhD"
"John-Stewart, Grace",Professor,"MD, MPH, PhD"
"Jones-Smith, Jessica",Associate Professor,"PhD, MPH"
"Kaelin, Carrie",Associate Teaching Professor,
"Karr, Catherine",Professor,"PhD, MD, MS"
"Katon, Jodie",Research Assistant Professor,"PhD, MS"
"Katz, David",Acting Assistant Professor,
"Kaufman, Joel",Professor,"MD, MPH"
"Kava, Christine",Acting Assistant Professor,"PhD, MA"
"Kavanagh, Terrance",Professor,"PhD, MS"
"Kemp, Christopher",Acting Assistant Professor,
"Kernic, Mary",Research Associate Professor,"PhD, MPH"
"Kerr, Kathleen",Professor,"PhD, MA, MS"
"Kessler, Larry",Professor,ScD
"Khosropour, Christine",Assistant Professor,"PhD, MPH"
"Kirk, Elizabeth",Associate Teaching Professor,PhD
"Knerr, Sarah",Assistant Professor,"PhD, MPH"
"Ko, Linda",Associate Professor,"PhD, MPH, MS"
"Kohler, Pamela",Associate Professor,"PhD, MPH"
