"station.ID","station.name","type","url"
"01A050","Nooksack R @ Brennan","Long-term","../station.asp?sta=01A050"
"01A120","Nooksack R @ No Cedarville","Long-term","../station.asp?sta=01A120"
"01F070","SF Nooksack @ Potter Rd","Basin","../station.asp?sta=01F070"
"01N060","Bertrand Cr @ Rathbone Rd","Basin","../station.asp?sta=01N060"
"01N100","Bertrand @ 0 Ave","Basin","../station.asp?sta=01N100"
"03A060","Skagit R nr Mount Vernon","Long-term","../station.asp?sta=03A060"
"03A080","Skagit R abv Sedro Woolley","Basin","../station.asp?sta=03A080"
"03B050","Samish R nr Burlington","Long-term","../station.asp?sta=03B050"
"03B077","Samish R abv Parson Cr","Basin","../station.asp?sta=03B077"
"04A100","Skagit R @ Marblemount","Long-term","../station.asp?sta=04A100"
"05A065","N Slough Stillaquamish@ Pioneer Hwy","Basin","../station.asp?sta=05A065"
"05A070","Stillaguamish R nr Silvana","Long-term","../station.asp?sta=05A070"
"05A080","Stillaguamish R @ Blue Stilly Park","Basin","../station.asp?sta=05A080"
"05A090","SF Stillaguamish R @ Arlington","Long-term","../station.asp?sta=05A090"
"05A110","SF Stillaguamish R nr Granite Falls","Long-term","../station.asp?sta=05A110"
"05B070","NF Stillaguamish R @ Cicero","Long-term","../station.asp?sta=05B070"
"05B110","NF Stillaguamish R nr Darrington","Long-term","../station.asp?sta=05B110"
"05G050","Jim Cr @ Jordan Rd","Basin","../station.asp?sta=05G050"
"05L100","Church Cr @ 284th St","Basin","../station.asp?sta=05L100"
"05M050","Montague Cr @ Hwy 530","Basin","../station.asp?sta=05M050"
"07A090","Snohomish R @ Snohomish","Long-term","../station.asp?sta=07A090"
"07A100","Snohomish R @ Short School Rd","Basin","../station.asp?sta=07A100"
"07B075","Pilchuck R @ Russel Rd","Basin","../station.asp?sta=07B075"
"07C070","Skykomish R @ Monroe","Long-term","../station.asp?sta=07C070"
"07D050","Snoqualmie R nr Monroe","Long-term","../station.asp?sta=07D050"
"07D130","Snoqualmie R @ Snoqualmie","Long-term","../station.asp?sta=07D130"
"07P070","Patterson Ck nr Fall City","Basin","../station.asp?sta=07P070"
"07R050","French Cr nr Mouth","Basin","../station.asp?sta=07R050"
"08C070","Cedar R @ Logan St/Renton","Long-term","../station.asp?sta=08C070"
"08C100","Cedar R @ RR Grade Rd","Basin","../station.asp?sta=08C100"
"08C110","Cedar R nr Landsburg","Long-term","../station.asp?sta=08C110"
"08N070","Johns Cr @ Gene Coulon Park","Basin","../station.asp?sta=08N070"
"09A080","Green R @ Tukwila","Long-term","../station.asp?sta=09A080"
"09A190","Green R @ Kanaskat","Long-term","../station.asp?sta=09A190"
"09H090","Black R @ Monster Rd SW","Basin","../station.asp?sta=09H090"
"09L060","Walker Cr near mouth","Basin","../station.asp?sta=09L060"
"09M050","North Cr at Seahurst Pk","Basin","../station.asp?sta=09M050"
"09N050","Mullen Slough @ Frager Rd","Basin","../station.asp?sta=09N050"
"09Q060","Redondo Cr abv Marine View Dr S","Basin","../station.asp?sta=09Q060"
"10A070","Puyallup R @ Meridian St","Long-term","../station.asp?sta=10A070"
"10C095","White R @ R Street","Basin","../station.asp?sta=10C095"
"10G080","Hylebos Cr @ 8th St E","Basin","../station.asp?sta=10G080"
"10H070","Lake Tapps Tailrace @ E Valley Hwy","Basin","../station.asp?sta=10H070"
"10I050","Joe's Cr @ SR 509","Basin","../station.asp?sta=10I050"
"10J050","Lakota Cr @ Dumas Bay Center","Basin","../station.asp?sta=10J050"
"11A070","Nisqually R @ Nisqually","Long-term","../station.asp?sta=11A070"
"12A110","Clover Cr abv Steilacoom Lk","Basin","../station.asp?sta=12A110"
"12B070","Leach Cr nr Steilacoom","Basin","../station.asp?sta=12B070"
"12C060","Flett Cr @ 75th St W","Basin","../station.asp?sta=12C060"
"12F090","Spanaway Cr @ Old Military Rd","Basin","../station.asp?sta=12F090"
"13A060","Deschutes R @ E St Bridge","Long-term","../station.asp?sta=13A060"
"14C050","Happy Hollow Cr at WA106","Basin","../station.asp?sta=14C050"
"14D070","Sherwood Cr abv mouth","Basin","../station.asp?sta=14D070"
"15A070","Dewatto R nr Dewatto","Basin","../station.asp?sta=15A070"
"15B050","Chico Cr nr Chico","Basin","../station.asp?sta=15B050"
"15C070","Clear Cr @ Silverdale","Basin","../station.asp?sta=15C070"
"15D070","Tahuya R @ Tahuya River Rd","Basin","../station.asp?sta=15D070"
"15F050","Big Beef Cr @ Mouth","Basin","../station.asp?sta=15F050"
"15L050","Seabeck Cr @ mouth","Basin","../station.asp?sta=15L050"
"15M070","Llt Anderson Cr @ Anderson Hill Rd","Basin","../station.asp?sta=15M070"
"15N070","Stavis Cr nr Mouth","Basin","../station.asp?sta=15N070"
"16A070","Skokomish R nr Potlatch","Long-term","../station.asp?sta=16A070"
"16B130","Hamma Hamma R @ Lena Creek Camp","Basin","../station.asp?sta=16B130"
"16C090","Duckabush R nr Brinnon","Long-term","../station.asp?sta=16C090"
"17A060","Big Quilcene R nr mouth","Basin","../station.asp?sta=17A060"
"18B070","Elwha R nr Port Angeles","Long-term","../station.asp?sta=18B070"
"18S070","CassaleryCreek@Taylor Ranch Rd","Basin","../station.asp?sta=18S070"
"19C060","West Twin R nr mouth","Basin","../station.asp?sta=19C060"
"19D070","East Twin R nr Mouth","Basin","../station.asp?sta=19D070"
"19E060","Deep Cr nr mouth","Basin","../station.asp?sta=19E060"
"20B070","Hoh R @ DNR Campground","Long-term","../station.asp?sta=20B070"
"20E100","Twin Cr @ Upper Hoh Rd Br","Basin","../station.asp?sta=20E100"
"20F070","Lake Cr at Hwy101","Basin","../station.asp?sta=20F070"
"22A070","Humptulips R nr Humptulips","Long-term","../station.asp?sta=22A070"
"22T070","Mox-Chehalis Cr. @ US 12
Hwy 12","Basin","../station.asp?sta=22T070"
"23A070","Chehalis R @ Porter","Long-term","../station.asp?sta=23A070"
"23A160","Chehalis R @ Dryad","Long-term","../station.asp?sta=23A160"
"23A170","Chehalis R nr Doty","Basin","../station.asp?sta=23A170"
"23E060","Black R @ Hwy 12","Basin","../station.asp?sta=23E060"
"23G070","SF Chehalis R @ Beaver Creek Rd","Basin","../station.asp?sta=23G070"
"24B090","Willapa R nr Willapa","Long-term","../station.asp?sta=24B090"
"24B130","Willapa R @ Lebam","Basin","../station.asp?sta=24B130"
"24F070","Naselle R nr Naselle","Long-term","../station.asp?sta=24F070"
"24K060","Forks Cr abv Hatchery (outfall)","Basin","../station.asp?sta=24K060"
"25B070","Grays R nr Grays River","Basin","../station.asp?sta=25B070"
"25C070","Elochoman R nr Cathlamet","Basin","../station.asp?sta=25C070"
"25D050","Germany Cr @ mouth","Basin","../station.asp?sta=25D050"
"25E060","Abernathy Cr nr mouth","Basin","../station.asp?sta=25E060"
