"Station","Station Name","Station Type"
"01A050","Nooksack R @ Brennan","Long-term"
"01A120","Nooksack R @ No Cedarville","Long-term"
"01F070","SF Nooksack @ Potter Rd","Basin"
"01N060","Bertrand Cr @ Rathbone Rd","Basin"
"01N100","Bertrand @ 0 Ave","Basin"
"03A060","Skagit R nr Mount Vernon","Long-term"
"03A080","Skagit R abv Sedro Woolley","Basin"
"03B050","Samish R nr Burlington","Long-term"
"03B077","Samish R abv Parson Cr","Basin"
"04A100","Skagit R @ Marblemount","Long-term"
"05A065","N Slough Stillaquamish@ Pioneer Hwy","Basin"
"05A070","Stillaguamish R nr Silvana","Long-term"
"05A080","Stillaguamish R @ Blue Stilly Park","Basin"
"05A090","SF Stillaguamish R @ Arlington","Long-term"
"05A110","SF Stillaguamish R nr Granite Falls","Long-term"
"05B070","NF Stillaguamish R @ Cicero","Long-term"
"05B110","NF Stillaguamish R nr Darrington","Long-term"
"05G050","Jim Cr @ Jordan Rd","Basin"
"05L100","Church Cr @ 284th St","Basin"
"05M050","Montague Cr @ Hwy 530","Basin"
"07A090","Snohomish R @ Snohomish","Long-term"
"07A100","Snohomish R @ Short School Rd","Basin"
"07B075","Pilchuck R @ Russel Rd","Basin"
"07C070","Skykomish R @ Monroe","Long-term"
"07D050","Snoqualmie R nr Monroe","Long-term"
"07D130","Snoqualmie R @ Snoqualmie","Long-term"
"07P070","Patterson Ck nr Fall City","Basin"
"07R050","French Cr nr Mouth","Basin"
"08C070","Cedar R @ Logan St/Renton","Long-term"
"08C100","Cedar R @ RR Grade Rd","Basin"
"08C110","Cedar R nr Landsburg","Long-term"
"08N070","Johns Cr @ Gene Coulon Park","Basin"
"09A080","Green R @ Tukwila","Long-term"
"09A190","Green R @ Kanaskat","Long-term"
"09H090","Black R @ Monster Rd SW","Basin"
"09L060","Walker Cr near mouth","Basin"
"09M050","North Cr at Seahurst Pk","Basin"
"09N050","Mullen Slough @ Frager Rd","Basin"
"09Q060","Redondo Cr abv Marine View Dr S","Basin"
"10A070","Puyallup R @ Meridian St","Long-term"
"10C095","White R @ R Street","Basin"
"10G080","Hylebos Cr @ 8th St E","Basin"
"10H070","Lake Tapps Tailrace @ E Valley Hwy","Basin"
"10I050","Joe's Cr @ SR 509","Basin"
"10J050","Lakota Cr @ Dumas Bay Center","Basin"
"11A070","Nisqually R @ Nisqually","Long-term"
"12A110","Clover Cr abv Steilacoom Lk","Basin"
"12B070","Leach Cr nr Steilacoom","Basin"
"12C060","Flett Cr @ 75th St W","Basin"
"12F090","Spanaway Cr @ Old Military Rd","Basin"
"13A060","Deschutes R @ E St Bridge","Long-term"
"14C050","Happy Hollow Cr at WA106","Basin"
"14D070","Sherwood Cr abv mouth","Basin"
"15A070","Dewatto R nr Dewatto","Basin"
"15B050","Chico Cr nr Chico","Basin"
"15C070","Clear Cr @ Silverdale","Basin"
"15D070","Tahuya R @ Tahuya River Rd","Basin"
"15F050","Big Beef Cr @ Mouth","Basin"
"15L050","Seabeck Cr @ mouth","Basin"
"15M070","Llt Anderson Cr @ Anderson Hill Rd","Basin"
"15N070","Stavis Cr nr Mouth","Basin"
"16A070","Skokomish R nr Potlatch","Long-term"
"16B130","Hamma Hamma R @ Lena Creek Camp","Basin"
"16C090","Duckabush R nr Brinnon","Long-term"
"17A060","Big Quilcene R nr mouth","Basin"
"18B070","Elwha R nr Port Angeles","Long-term"
"18S070","CassaleryCreek@Taylor Ranch Rd","Basin"
"19C060","West Twin R nr mouth","Basin"
"19D070","East Twin R nr Mouth","Basin"
"19E060","Deep Cr nr mouth","Basin"
"20B070","Hoh R @ DNR Campground","Long-term"
"20E100","Twin Cr @ Upper Hoh Rd Br","Basin"
"20F070","Lake Cr at Hwy101","Basin"
"22A070","Humptulips R nr Humptulips","Long-term"
"22T070","Mox-Chehalis Cr. @ US 12
Hwy 12","Basin"
"23A070","Chehalis R @ Porter","Long-term"
"23A160","Chehalis R @ Dryad","Long-term"
"23A170","Chehalis R nr Doty","Basin"
"23E060","Black R @ Hwy 12","Basin"
"23G070","SF Chehalis R @ Beaver Creek Rd","Basin"
"24B090","Willapa R nr Willapa","Long-term"
"24B130","Willapa R @ Lebam","Basin"
"24F070","Naselle R nr Naselle","Long-term"
"24K060","Forks Cr abv Hatchery (outfall)","Basin"
"25B070","Grays R nr Grays River","Basin"
"25C070","Elochoman R nr Cathlamet","Basin"
"25D050","Germany Cr @ mouth","Basin"
"25E060","Abernathy Cr nr mouth","Basin"
"25E100","Abernathy Cr @ DNR","Basin"
"25F060","Mill Cr nr mouth","Basin"
"25F100","Mill Cr @ DNR","Basin"
"25G060","Coal Cr @ Harmony Rd","Basin"
"26B070","Cowlitz R @ Kelso","Long-term"
"26C073","Coweeman R @ 3802 Allen Street","Basin"
"26G050","Lacamas Cr @ SR506","Basin"
"27B070","Kalama R nr Kalama","Long-term"
"27D090","EF Lewis R nr Dollar Corner","Long-term"
"28B070","Washougal R @ Washougal","Basin"
"28B085","Washougal R abv Ltl Washougal R","Basin"
"28C070","Burnt Br Cr @ Mouth","Basin"
"28D170","Salmon Cr @ NE 199th/Hill rd","Basin"
"29B090","White Salmon R @ Husum St","Basin"
"29D070","Rattlesnake Cr nr Mouth","Basin"
"29M050","Trapper Creek @ NF","Basin"
"31A070","Columbia R @ Umatilla","Long-term"
