"ID","STATION","STATION NAME","OVERALLWQI 2013","WQIFC","WQIOXY","WQIPH","WQITSS","WQITEMP","WQITPN","WQITP","WQITURB","CORE","CAT","Location 1","Counties","lon","lat"
3,"03A060","Skagit R nr Mount Vernon",86,94,82,92,66,84,98,89,85,"C",1,"POINT (-122.3352 48.4451)",3212,-122.3352,48.4451
4,"03B050","Samish R nr Burlington",86,79,77,93,87,86,41,84,87,"C",1,"POINT (-122.3382 48.5458)",3212,-122.3382,48.5458
5,"04A100","Skagit R @ Marblemount",75,98,93,93,67,90,82,99,59,"C",2,"POINT (-121.429 48.5268)",3212,-121.429,48.5268
6,"05A065","N Slough Stillaquamish@ Pioneer Hwy",79,86,83,92,73,72,81,78,73,"B",2,"POINT (-122.247 48.21)",3213,-122.247,48.21
7,"05A070","Stillaguamish R nr Silvana",79,86,86,94,72,73,85,79,68,"C",2,"POINT (-122.2101 48.1969)",3213,-122.2101,48.1969
8,"05A090","SF Stillaguamish R @ Arlington",69,83,74,92,65,73,88,67,62,"C",3,"POINT (-122.119 48.2007)",3213,-122.119,48.2007
9,"05A110","SF Stillaguamish R nr Granite Falls",66,81,78,93,47,74,94,54,43,"C",3,"POINT (-121.9532 48.1028)",3213,-121.9532,48.1028
10,"05B070","NF Stillaguamish R @ Cicero",40,85,83,93,19,79,10,46,17,"C",4,"POINT (-122.0131 48.2673)",3213,-122.0131,48.2673
11,"05B110","NF Stillaguamish R nr Darrington",79,92,86,92,82,75,37,95,75,"C",2,"POINT (-121.7024 48.28)",3213,-121.7024,48.28
12,"07A090","Snohomish R @ Snohomish",88,86,87,89,86,78,84,90,89,"C",1,"POINT (-122.0988 47.9106)",3213,-122.0988,47.9106
13,"07C070","Skykomish R @ Monroe",84,87,81,90,80,75,91,91,85,"C",1,"POINT (-121.9592 47.8521)",3213,-121.9592,47.8521
14,"07D050","Snoqualmie R nr Monroe",87,90,86,89,83,70,86,86,87,"C",1,"POINT (-122.0028 47.8037)",3213,-122.0028,47.8037
15,"07D130","Snoqualmie R @ Snoqualmie",75,85,71,89,75,79,91,88,83,"C",2,"POINT (-121.8121 47.5269)",3009,-121.8121,47.5269
16,"08C070","Cedar R @ Logan St/Renton",76,70,89,93,84,76,90,93,97,"C",2,"POINT (-122.209 47.4857)",3009,-122.209,47.4857
17,"08C110","Cedar R nr Landsburg",94,89,87,93,96,85,95,100,100,"C",1,"POINT (-121.9205 47.3913)",3009,-121.9205,47.3913
18,"09A080","Green R @ Tukwila",70,81,80,91,80,72,70,59,86,"C",3,"POINT (-122.2479 47.4654)",3009,-122.2479,47.4654
19,"09A190","Green R @ Kanaskat",69,91,80,95,84,68,48,83,72,"C",3,"POINT (-121.8935 47.3193)",3009,-121.8935,47.3193
20,"10A070","Puyallup R @ Meridian St",52,74,83,95,27,83,84,20,28,"C",3,"POINT (-122.2937 47.2026)",3210,-122.2937,47.2026
21,"11A070","Nisqually R @ Nisqually",83,91,84,94,80,76,90,75,71,"C",1,"POINT (-122.6964 47.062)",3210,-122.6964,47.062
22,"13A060","Deschutes R @ E St Bridge",78,81,92,94,77,84,37,71,78,"C",2,"POINT (-122.9032 47.0118)",2742,-122.9032,47.0118
23,"14D070","Sherwood Cr abv mouth",85,81,76,92,98,80,90,68,99,"B",1,"POINT (-122.8417 47.3737)",849,-122.8417,47.3737
24,"16A070","Skokomish R nr Potlatch",93,81,92,97,90,90,100,95,89,"C",1,"POINT (-123.1771 47.3098)",849,-123.1771,47.3098
25,"16B130","Hamma Hamma R @ Lena Creek Camp",97,100,89,94,100,96,94,100,100,"S",1,"POINT (-123.1531 47.5973)",849,-123.1531,47.5973
26,"16C090","Duckabush R nr Brinnon",95,94,95,94,85,94,97,100,90,"C",1,"POINT (-123.0116 47.684)",3008,-123.0116,47.684
27,"18B070","Elwha R nr Port Angeles",61,90,92,88,2,92,91,1,1,"C",3,"POINT (-123.5777 48.0654)",2976,-123.5777,48.0654
28,"19C060","West Twin R nr mouth",87,85,88,96,78,82,56,87,86,"P",1,"POINT (-123.9524 48.1631)",2976,-123.9524,48.1631
29,"19D070","East Twin R nr Mouth",88,90,89,90,80,85,55,84,87,"P",1,"POINT (-123.9383 48.1549)",2976,-123.9383,48.1549
30,"19E060","Deep Cr nr mouth",89,86,86,96,80,82,45,89,90,"P",1,"POINT (-124.0251 48.1726)",2976,-124.0251,48.1726
31,"20B070","Hoh R @ DNR Campground",68,80,94,96,51,91,91,61,47,"C",3,"POINT (-124.2477 47.8098)",3008,-124.2477,47.8098
32,"20E100","Twin Cr @ Upper Hoh Rd Br",85,74,93,93,99,88,98,96,100,"S",1,"POINT (-123.9899 47.8329)",3008,-123.9899,47.8329
33,"22A070","Humptulips R nr Humptulips",84,82,87,94,77,82,83,91,77,"C",1,"POINT (-123.9618 47.2298)",2983,-123.9618,47.2298
34,"23A070","Chehalis R @ Porter",62,85,89,92,68,68,52,58,75,"C",3,"POINT (-123.3138 46.9393)",2983,-123.3138,46.9393
35,"23A160","Chehalis R @ Dryad",65,76,78,96,78,65,77,73,81,"C",3,"POINT (-123.2501 46.6309)",3196,-123.2501,46.6309
36,"24B090","Willapa R nr Willapa",80,78,87,91,78,78,57,69,82,"C",1,"POINT (-123.6535 46.6501)",3208,-123.6535,46.6501
37,"24F070","Naselle R nr Naselle",79,67,88,94,87,77,67,88,93,"C",2,"POINT (-123.7468 46.3729)",3208,-123.7468,46.3729
38,"25D050","Germany Cr @ mouth",85,82,93,96,82,80,52,81,87,"P",1,"POINT (-123.1253 46.1915)",2978,-123.1253,46.1915
39,"25E060","Abernathy Cr nr mouth",81,79,95,95,83,83,73,82,87,"P",1,"POINT (-123.1662 46.1948)",2978,-123.1662,46.1948
40,"25F060","Mill Cr nr mouth",89,79,94,93,85,87,79,95,88,"P",1,"POINT (-123.1786 46.1906)",2978,-123.1786,46.1906
41,"26B070","Cowlitz R @ Kelso",88,83,93,97,67,87,97,78,82,"C",1,"POINT (-122.9143 46.1454)",2978,-122.9143,46.1454
42,"26G050","Lacamas Cr @ SR506",76,75,81,93,88,71,52,56,84,"B",2,"POINT (-122.9261 46.4117)",3196,-122.9261,46.4117
43,"27B070","Kalama R nr Kalama",90,83,89,96,93,82,83,88,95,"C",1,"POINT (-122.8373 46.0473)",2978,-122.8373,46.0473
44,"27D090","EF Lewis R nr Dollar Corner",86,86,85,95,99,69,81,99,97,"C",1,"POINT (-122.5918 45.8146)",2977,-122.5918,45.8146
45,"31A070","Columbia R @ Umatilla",85,93,81,87,92,72,95,92,91,"C",1,"POINT (-119.3264 45.9338)",2955,-119.3264,45.9338
46,"32A070","Walla Walla R nr Touchet",62,80,92,69,58,54,88,67,66,"C",3,"POINT (-118.7664 46.0376)",2743,-118.7664,46.0376
47,"33A050","Snake R nr Pasco",79,89,76,81,87,68,84,81,84,"C",2,"POINT (-119.0242 46.2165)",2981,-119.0242,46.2165
48,"34A070","Palouse R @ Hooper",56,84,91,58,72,49,45,65,66,"C",3,"POINT (-118.148 46.7586)",2953,-118.148,46.7586
49,"34A170","Palouse R @ Palouse",73,71,84,74,84,66,84,76,70,"C",2,"POINT (-117.0768 46.9091)",2745,-117.0768,46.9091
50,"34B110","SF Palouse R @ Pullman",50,55,76,78,85,76,32,58,69,"C",3,"POINT (-117.181 46.7324)",2745,-117.181,46.7324
