"year","fecal.coliform.bacteria","oxygen","pH","suspended.solids","temperature","total.persulf.nitrogen","total.phosphorus","turbidity","overall.WQI","adjusted.for.flow","Station"
1994,75,82,96,67,76,40,76,65,73,61,"01A050"
1995,75,80,96,29,73,53,28,24,56,55,"01A050"
1996,66,80,96,54,71,52,51,51,49,50,"01A050"
1997,63,73,93,36,82,43,29,34,41,45,"01A050"
1998,78,78,96,68,80,54,69,63,62,59,"01A050"
1999,82,88,96,36,89,34,34,33,42,54,"01A050"
2000,75,85,96,55,83,63,58,54,65,64,"01A050"
2001,80,82,94,60,83,63,69,68,68,58,"01A050"
2002,86,81,96,51,77,46,52,55,58,59,"01A050"
2003,81,79,96,42,76,70,52,44,57,58,"01A050"
2004,78,79,96,15,78,64,18,12,52,57,"01A050"
2005,78,78,97,39,78,61,49,33,54,52,"01A050"
2006,84,81,98,43,82,58,51,35,61,61,"01A050"
2007,78,83,97,48,84,57,55,39,51,54,"01A050"
2008,84,88,97,31,87,61,16,24,60,63,"01A050"
2009,79,85,97,47,71,72,42,47,69,62,"01A050"
2010,81,79,95,34,79,73,22,28,56,61,"01A050"
2011,71,90,96,37,88,62,11,32,55,55,"01A050"
2012,80,80,97,38,85,69,42,48,62,68,"01A050"
2013,84,85,93,40,83,54,45,48,61,57,"01A050"
2014,81,78,97,38,55,75,31,39,52,53,"01A050"
2015,79,60,90,40,45,73,33,34,44,39,"01A050"
2016,88,85,97,58,61,73,53,55,67,63,"01A050"
1995,92,88,91,31,82,90,33,27,63,71,"01A120"
1996,81,89,96,30,83,89,40,29,60,64,"01A120"
1997,78,89,94,31,79,69,31,30,54,56,"01A120"
1998,89,89,92,59,89,91,70,54,74,69,"01A120"
1999,86,92,88,51,90,86,55,45,68,74,"01A120"
2000,96,93,90,64,89,93,63,59,79,74,"01A120"
2001,90,93,86,59,83,93,64,60,78,72,"01A120"
2002,82,93,78,32,84,87,44,40,60,64,"01A120"
2003,89,89,96,46,86,93,58,45,69,65,"01A120"
2004,88,92,97,13,87,92,16,10,61,63,"01A120"
2005,90,89,96,45,88,95,54,40,68,65,"01A120"
2006,93,91,98,46,89,93,60,43,71,70,"01A120"
2007,91,89,92,48,89,94,57,38,68,65,"01A120"
2008,87,89,95,28,90,92,18,28,64,72,"01A120"
2009,91,90,94,60,80,80,55,60,70,66,"01A120"
2010,86,89,98,18,85,95,2,10,57,64,"01A120"
2011,89,92,97,42,92,95,23,46,68,66,"01A120"
2012,98,87,86,47,80,95,51,53,72,73,"01A120"
2013,91,89,96,45,85,90,55,60,70,68,"01A120"
2014,94,87,92,51,81,95,46,49,71,72,"01A120"
2015,92,84,94,29,68,89,2,21,59,59,"01A120"
2016,90,91,97,45,85,93,47,49,73,75,"01A120"
1997,89,79,93,1,78,3,11,4,28,NA,"01F070"
2002,79,82,94,10,69,5,9,9,27,NA,"01F070"
2007,93,82,91,25,73,29,54,27,37,NA,"01F070"
2012,96,80,98,27,66,21,54,32,39,NA,"01F070"
2007,53,67,92,89,79,1,52,83,54,NA,"01N060"
2014,74,73,93,80,78,1,45,73,53,72,"01N060"
2015,63,77,91,86,78,1,58,84,46,55,"01N060"
2016,71,71,93,87,80,1,55,83,58,68,"01N060"
2014,65,56,93,89,74,1,48,82,51,51,"01N100"
2015,67,63,91,74,59,1,31,73,32,NA,"01N100"
2016,67,43,92,94,80,1,49,93,47,47,"01N100"
1994,90,86,96,58,81,96,73,64,75,70,"03A060"
