time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-23T11:11:02.970Z,44.82633333,-123.7868333,48.58,2.53,ml,25,123,,0.16,uw,uw61507661,2019-02-23T20:22:42.040Z,"15km NE of Siletz, Oregon",earthquake,0.37,0.69,0.097998479,15,reviewed,uw,uw
2018-11-23T05:35:48.110Z,45.3623,-116.1946,10,3,ml,,65,0.307,0.9,us,us1000hvlk,2019-02-02T20:02:25.040Z,"50km N of McCall, Idaho",earthquake,3.4,2,0.048,58,reviewed,us,us
2018-11-19T11:09:13.050Z,47.698,-123.5516667,39.32,4.07,ml,53,62,,0.24,uw,uw61504942,2019-02-02T20:02:25.040Z,"33km NE of Quinault Census Designated Place, Washington",earthquake,0.35,0.38,0.174372415,40,reviewed,uw,uw
2018-10-30T17:59:43.340Z,48.437,-122.5671667,5.63,2.89,ml,22,69,,0.33,uw,uw61500202,2019-01-21T14:29:40.040Z,"9km SSE of Anacortes, Washington",earthquake,0.48,1.26,0.233442423,16,reviewed,uw,uw
2018-10-30T07:45:01.460Z,47.2545,-122.5416667,57.22,2.83,ml,60,47,,0.37,uw,uw61434702,2019-01-21T14:29:39.040Z,"2km NNE of University Place, Washington",earthquake,0.54,0.9,0.179200263,47,reviewed,uw,uw
2018-10-09T22:34:00.400Z,46.1031667,-120.4206667,17.53,2.89,ml,29,62,0.2072,0.18,uw,uw61436236,2018-12-21T21:15:48.040Z,"31km SSW of Toppenish, Washington",earthquake,0.36,0.78,0.196,15,reviewed,uw,uw
2018-10-01T00:31:15.910Z,42.0223333,-124.2715,16.22,2.99,ml,12,173,0.05672,0.27,uw,uw61424827,2018-12-14T20:32:38.040Z,"3km SSE of Brookings, Oregon",earthquake,1.11,0.96,0.204,10,reviewed,uw,uw
2018-09-25T13:18:50.110Z,45.6766667,-122.8965,22.71,2.56,ml,43,38,0.1266,0.11,uw,uw61422757,2018-12-01T16:45:12.040Z,"8km S of Scappoose, Oregon",earthquake,0.18,0.41,0.101,23,reviewed,uw,uw
2018-09-17T00:08:26.690Z,45.1358333,-122.9721667,40.89,2.83,ml,45,30,0.1447,0.24,uw,uw61419862,2018-11-27T15:51:56.040Z,"6km WNW of Gervais, Oregon",earthquake,0.31,0.38,0.183,25,reviewed,uw,uw
2018-09-09T12:55:44.500Z,48.275,-123.0391667,23.09,3.26,ml,48,45,0.2016,0.24,uw,uw61426956,2018-11-19T11:32:59.696Z,"22km NNE of Sequim, Washington",earthquake,0.31,0.94,0.217,34,reviewed,uw,uw
