"lon","lat","site"
-122.669515,45.6460995,"PeaceHealth Urgent Care – Memorial, 3400 Main St."
-122.642676,45.535251,"Magnolia Family Clinic, 2207 NE Broadway, Suite 200, Portland"
-122.584548,45.6252952,"The Vancouver Clinic, 700 NE 87th Ave., Vancouver"
-122.5419572,45.6181219,"Kaiser Cascade Park Medical Office, 12607 SE Mill Plain Blvd., Vancouver"
-122.5817084,45.6238087,"PeaceHealth Southwest Medical Center Emergency Department, 400 NE Mother Joseph Place, Vancouver"
-122.6485989,45.7202957,"Legacy Salmon Creek Medical Center Emergency Department, 2211 NE 139th St., Vancouver"
-122.5588136,45.7814928,"Rose Urgent Care and Family Practice, 18 NW 20th Ave., Battle Ground"
-122.5311481,45.6734428,"Kaiser Orchards Medical Office, 7101 NE 137th Ave., Vancouver"
-122.6449079,45.7207597,"​The Vancouver Clinic Salmon Creek, 2525 NE 139th St., Vancouver"
-122.5544778,45.6194893,"Legacy GoHealth Urgent Care Cascade Park, 305 SE Chkalov Drive, Vancouver"
-122.4795972,45.5958772,"Sea Mar Medical Clinic East Vancouver, 19005 SE 34th St., Vancouver"
-122.3759468,45.581554,"The Vancouver Clinic Washougal, 291 C St., Washougal"
-122.553866,45.7004924,"Cornerstone Christian Academy, 10818 NE 117th Ave., Vancouver"
-122.5848859,45.6193149,"Vancouver Home Connection, 301 S. Lieser Road, Vancouver"
-122.5265244,45.6269536,"Hearthwood Elementary School, 801 NE Hearthwood Blvd., Vancouver"
-122.5962239,45.6192346,"Slavic Christian Academy, 7300 MacArthur Blvd., Vancouver"
-122.5486746,45.6536553,"Image Elementary School, 4400 NE 122nd Ave., Vancouver"
-122.6771754,45.6887198,"Eisenhower Elementary School, 9201 NW Ninth Ave., Vancouver"
-122.4978214,45.772945,"Tukes Valley Primary School, 20601 NE 167th Ave., Battle Ground"
-122.4976773,45.7729716,"Tukes Valley Middle School, 20601 NE 167th Ave., Battle Ground"
-122.5437868,45.7678161,"Maple Grove School, 601B SW Eaton Blvd., Battle Ground"
-122.544564,45.7669514,"River HomeLink, 601 SW Eaton Blvd., Battle Ground"
-122.5260544,45.6362994,"Evergreen High School, 14300 NE 18th St., Vancouver"
-122.5566369,45.6725829,"Orchards Elementary School, 11405 NE 69th St., Vancouver"
-122.6424437,45.6624353,"Minnehaha Elementary School, 2800 NE 54th St., Vancouver"
-122.4971652,45.6391114,"Yelena’s Daycare, 17007 NE 23rd St., Vancouver"
-122.5486746,45.6536553,"Image Elementary School, 4400 NE 122nd Ave., Vancouver"
-122.4940351,45.6379646,"Pacific Middle School, 2017 NE 172nd Ave., Vancouver"
-122.5259443,45.642295,"Burton Elementary School, 14015 NE 28th St., Vancouver"
-122.6667165,45.6477677,"Church of Christ Our Savior, 3612 F St., Vancouver"
-122.598129,45.652376,"Church of Truth, 7250 NE 41st St., Vancouver"
-122.5950942,45.5897694,"Portland International Airport, 7000 NE Airport Way, Portland"
-122.5962239,45.6192346,"GracePoint Christian Church, 7300 MacArthur Blvd., Vancouver"
-122.5242954,45.5592129,"Costco, 4849 NE 138th Ave., Portland"
-122.5499447,45.7818672,"A Children's Dentist, 101 NW 12th Ave., Battle Ground"
-122.4661459,45.6028735,"Fisher Investments, 5525 NW Fisher Creek Drive, Camas"
-122.6856335,45.5165361,"Amazon Lockers, 1131 SW Jefferson St., Portland"
-122.660263,45.514906,"Rejuvenation, 1100 SE Grand Ave. Portland"
-122.5362014,45.6180662,"Pho Green Papaya, 13215 SE Mill Plain Blvd., Vancouver"
-122.5367366,45.6180891,"Chuck's Produce, 13215 SE Mill Plain Blvd., Vancouver"
-122.6668423,45.5315651,"Moda Center (Trail Blazers game), 1 N Center Court St., Portland"
-122.55383,45.5711826,"Ikea, 10280 NE Cascades Parkway, Portland"
-122.5583703,45.57327,"Verizon Wireless at Cascade Station, 10103 NE Cascades Parkway, Portland"
-122.5914399,45.6504649,"Dollar Tree, 7809-B Vancouver Plaza Drive, Vancouver"
-122.5547405,45.6784637,"Dollar Tree, 11501 NE 76th St., Vancouver"
-122.597962,45.7011696,"God Will Provide Church, 7321 NE 110th St., Vancouver"
-121.2997722,44.0834844,"Mountain Air Trampoline Park, 20495 Murray Road, Bend, Ore."
-122.6658475,45.5084872,"Oregon Museum of Science and Industry (OMSI), 1945 SE Water Ave., Portland"
-122.4849727,45.5456857,"New Life Missionary Church, 3300 NE 172nd Place, Portland"
-121.2972117,44.0576801,"Juniper Swim and Fitness, 800 NE Sixth St., Bend, Ore."
-122.5483853,45.7908145,"Word of Grace Bible Church, 1317 NW 12th Ave., Battle Ground"
-122.5534494,45.6197265,"Trader Joe's, 305 SE Chkalov Drive, Vancouver"
-122.5530111,45.6197269,"Dollar Tree, 305 SE Chkalov Drive, Vancouver"
-122.5234356,45.6695364,"Walmart Supercenter, 14505 NE Fourth Plain Blvd., Vancouver"
-122.5490261,45.7842705,"Fred Meyer, 401 NW 12th Ave., Battle Ground"
