"lon","lat","site"
-122.3008576,47.4426946,"SeaTac International Airport, baggage claim (near north end) to Alki Bakery on the second level"
-122.3008576,47.4426946,"SeaTac International Airport, Alki Bakery - Pre-Screening area, second level"
-122.3008576,47.4426946,"SeaTac International Airport, Alki Bakery on the second level through ticketing level doors near Eva Airline"
-122.3088165,47.4502499,"Stairs from SeaTac Station and sky bridge into Airport."
-122.3008576,47.4426946,"SeaTac International Airport, Alki Bakery - Pre-Screening area, second level"
-122.3008576,47.4426946,"SeaTac International Airport, Alki Bakery on the second level through ticketing level doors near Eva Airline"
-122.3008576,47.4426946,"SeaTac International Airport, baggage claim (near north end) to Alki Bakery on the second level"
-122.3008576,47.4426946,"SeaTac International Airport, Alki Bakery - Pre-Screening area, second level"
-122.3008576,47.4426946,"SeaTac International Airport, Alki Bakery on the second level through ticketing level doors near Eva Airline"
-122.3008576,47.4426946,"SeaTac International Airport, baggage claim (near north end) to Alki Bakery on the second level"
-122.3008576,47.4426946,"SeaTac International Airport, Alki Bakery - Pre-Screening area, second level"
-122.3008576,47.4426946,"SeaTac International Airport, Alki Bakery on the second level through ticketing level doors near Eva Airline"
-122.2804408,47.6621517,"Seattle Children's Hospital, Mountain entrance, 4500 40th Ave NE, Seattle 98105"
-122.2804408,47.6621517,"Seattle Children's Hospital, Mountain entrance, 4500 40th Ave NE, Seattle 98105"
-122.2475875,47.7588926,"Safeway, 6850 NE Bothell Way, Kenmore 98028"
-122.2804408,47.6621517,"Seattle Children's Hospital, Mountain entrance, 4500 40th Ave NE, Seattle 98105"
-122.2830666,47.6623421,"Starbucks in Seattle Children's Hospital, Forest 1st Floor, 4500 40th Ave NE, Seattle 98105"
-122.2830666,47.6623421,"Seattle Children's Hospital, River 6th floor to stairwell closest to Parking Lot 3, 4500 40th Ave NE, Seattle 98105"
-122.2830666,47.6623421,"Starbucks in Seattle Children's Hospital, Forest 1st Floor, 4500 40th Ave NE, Seattle 98105"
-122.2830666,47.6623421,"Seattle Children's Hospital, Parking Lot 3 and Forest/Staff entrance, 4500 40th Ave NE, Seattle 98105
       NOTE: The correct time of exposure for July 8 at Seattle Children's Hospital is 10:30 p.m. - 12:45 a.m. It was previously listed as 10:30 a.m.- 12:30 p.m. We apologize for the error."
-122.2836221,47.6681872,"Metropolitan Market Sand Point, 5250 40th Ave NE, Seattle 98105"
-122.2170358,47.299932,"Auburn Community Center,
      910 9th St. SE, Auburn, WA 98002"
