"Date","Time","Location"
"May 6 – 10, 2019","5:30 – 8 a.m.","Sea-Tac International Airport
            Main parking garage 8th floor, far southern garage elevator, 4th level breezeway to escalator, terminal to baggage claim area"
"May 6 - 10, 2019","2 – 5 p.m.","Sea-Tac International Airport
            Baggage claim area to escalator, 4th level breezeway, far southern garage elevator, 8th floor parking garage"
"May 6, 2019","5 – 7:15 p.m.","Orting Transmission 130 Corrin Ct. NW., Orting"
"May 6, 2019","6 – 10 p.m.","Orting High School, Orting City Planning Meeting,320 Washington Ave. N. Orting."
"May 7, 2019","10 a.m. – 12:15 p.m.","Sea-Tac International Airport
            General area around gate A10 of SeaTac Airport"
"May 7, 2019","5 – 8 p.m.","Orting Transmission 130 Corrin Ct. NW., Orting"
"May 7, 2019","7:30 – 10 p.m.","Orting High School, Orting Junior Dance Team Banquet,320 Washington Ave. N. Orting"
"May 9, 2019","10 a.m. – 12:15 p.m.","Sea-Tac International Airport
            General area around gate A10 of SeaTac Airport"
"May 9, 2019","4 – 7:30 p.m.","Discount Tire, 19815 S. Prairie Rd. E., Bonney Lake."
"May 9, 2019","6 – 9:30 p.m.","Skookum Archery, 11209 Shaw Rd. E., Puyallup."
"May 10. 2019","6:30 – 8:40 a.m.","76 Gas Station Market,2841 S 188th St, SeaTac"
"May 10, 2019","3:15 – 5:45 p.m. and 6:30 – 9 p.m.","Orting Transmission 130 Corrin Ct. NW., Orting"
"May 11, 2019","8 – 10:30 a.m.","Sound Family Medicine Bonney Lake Walk-in Clinic, 10004 204 Ave., Bonney Lake."
"May 11, 2019","10:35 a.m.-1:50 p.m.","Target (South Hill Mall)"
"May 11, 2019","11 a.m.-1:20 p.m.","Costco (Puyallup)"
