"County","SiteName","Grade","# Documentation Required (Adjusted Enrollment)","# Vaccinated DTaP/Tdap","% Vaccinated DTaP/Tdap","# Vaccinated Polio","% Vaccinated Polio","# Vaccinated Varicella","% Vaccinated Varicella","# Vaccinated MMR1","% Vaccinated Mumps/Rubella","# Vaccinated Measles","% Vaccinated Measles","# Vaccinated HepB","% Vaccinated HepB","# Requiring HepA","# Vaccinated HepA","% Vaccinated HepA","# with all vaccines required","% with all vaccines required","# Nonmedical Exemptions Any Vaccines","% Nonmedical Exemptions Any Vaccines","# Exemption DTaP/Tdap","% Exemption DTaP/Tdap","# Exemption Polio","% Exemption Polio","# Exemption Varicella","% Exemption Varicella","# Exemption Measles","% Exemption Measles","# Exemption Mumps","% Exemption Mumps","# Exemption Rubella","% Exemption Rubella","# Exemption HepB","% Exemption HepB","# Exemption HepA","% Exemption HepA","# Nonmedical Exemptions All Vaccines","% Nonmedical Exemptions All Vaccines","# No Record","% No Record","# w/ Medical Exemption(s)","% w/ Medical Exemption(s)","# Not Counted","site","lon","lat"
"Baker","BAKER  HIGH SCHOOL","FULL SCHOOL GRADES K-12","436",422,0.967889908256881,425,0.974770642201835,425,0.974770642201835,424,0.972477064220184,423,0.970183486238532,426,0.977064220183486,"212",203,0.957547169811321,417,0.956422018348624,14,0.0321100917431193,10,0.0229357798165138,9,0.0206422018348624,10,0.0229357798165138,12,0.0275229357798165,11,0.0252293577981651,11,0.0252293577981651,9,0.0206422018348624,4,0.0188679245283019,8,0.018348623853211,0,0,2,0.00458715596330275,0,"BAKER  HIGH SCHOOL, Baker County, OR",-117.8365918,44.7868335
"Baker","BAKER MIDDLE SCHOOL","FULL SCHOOL GRADES K-12","259",240,0.926640926640927,251,0.969111969111969,253,0.976833976833977,253,0.976833976833977,251,0.969111969111969,254,0.980694980694981,"259",249,0.961389961389961,238,0.918918918918919,14,0.0540540540540541,13,0.0501930501930502,5,0.0193050193050193,5,0.0193050193050193,5,0.0193050193050193,5,0.0193050193050193,5,0.0193050193050193,4,0.0154440154440154,6,0.0231660231660232,4,0.0154440154440154,0,0,1,0.00386100386100386,0,"BAKER MIDDLE SCHOOL, Baker County, OR",-117.8348594,44.7773595
"Baker","BAKER VALLEY SEVENTH-DAY ADVENTIST SCHOOL","FULL SCHOOL GRADES K-12","15",12,0.8,12,0.8,12,0.8,12,0.8,12,0.8,12,0.8,"15",12,0.8,12,0.8,3,0.2,3,0.2,3,0.2,3,0.2,3,0.2,3,0.2,3,0.2,3,0.2,3,0.2,3,0.2,0,0,0,0,0,"BAKER VALLEY SEVENTH-DAY ADVENTIST SCHOOL, Baker County, OR",-117.8221626,44.7748749
"Baker","BROOKLYN ELEMENTARY SCHOOL","FULL SCHOOL GRADES K-12","430",400,0.930232558139535,401,0.932558139534884,408,0.948837209302326,409,0.951162790697674,402,0.934883720930233,406,0.944186046511628,"430",401,0.932558139534884,396,0.92093023255814,26,0.0604651162790698,26,0.0604651162790698,25,0.0581395348837209,22,0.0511627906976744,25,0.0581395348837209,21,0.0488372093023256,21,0.0488372093023256,22,0.0511627906976744,24,0.0558139534883721,20,0.0465116279069767,0,0,1,0.00232558139534884,0,"BROOKLYN ELEMENTARY SCHOOL, Baker County, OR",-117.8210514,44.7776526
"Baker","BURNT RIVER SCHOOL DISTRICT","FULL SCHOOL GRADES K-12","40",33,0.825,37,0.925,38,0.95,38,0.95,37,0.925,38,0.95,"32",24,0.75,31,0.775,9,0.225,7,0.175,3,0.075,2,0.05,3,0.075,2,0.05,2,0.05,2,0.05,2,0.0625,2,0.05,0,0,0,0,13,"BURNT RIVER SCHOOL DISTRICT, Baker County, OR",-118.1932268,44.4404929
"Baker","EAGLE CAP HIGH SCHOOL","FULL SCHOOL GRADES K-12","18",18,1,18,1,18,1,18,1,18,1,18,1,"<10",NA,NA,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,"EAGLE CAP HIGH SCHOOL, Baker County, OR",-117.8340316,44.7778187
"Baker","HAINES ELEMENTARY SCHOOL","FULL SCHOOL GRADES K-12","155",148,0.954838709677419,149,0.961290322580645,146,0.941935483870968,147,0.948387096774194,147,0.948387096774194,147,0.948387096774194,"155",147,0.948387096774194,145,0.935483870967742,10,0.0645161290322581,7,0.0451612903225806,6,0.0387096774193548,9,0.0580645161290323,8,0.0516129032258065,8,0.0516129032258065,8,0.0516129032258065,8,0.0516129032258065,8,0.0516129032258065,6,0.0387096774193548,0,0,0,0,0,"HAINES ELEMENTARY SCHOOL, Baker County, OR",-117.9343325,44.9140896
"Baker","HARVEST CHRISTIAN ACADEMY","FULL SCHOOL GRADES K-12","88",77,0.875,79,0.897727272727273,79,0.897727272727273,79,0.897727272727273,79,0.897727272727273,77,0.875,"79",68,0.860759493670886,75,0.852272727272727,13,0.147727272727273,11,0.125,9,0.102272727272727,9,0.102272727272727,9,0.102272727272727,9,0.102272727272727,9,0.102272727272727,11,0.125,9,0.113924050632911,9,0.102272727272727,0,0,0,0,0,"HARVEST CHRISTIAN ACADEMY, Baker County, OR",-117.8136907,44.793828
"Baker","HUNTINGTON SCHOOL DISTRICT 16J","FULL SCHOOL GRADES K-12","102",94,0.92156862745098,95,0.931372549019608,96,0.941176470588235,96,0.941176470588235,95,0.931372549019608,98,0.96078431372549,"81",65,0.802469135802469,80,0.784313725490196,2,0.0196078431372549,2,0.0196078431372549,1,0.00980392156862745,0,0,2,0.0196078431372549,0,0,0,0,0,0,1,0.0123456790123457,0,0,0,0,0,0,0,"HUNTINGTON SCHOOL DISTRICT 16J, Baker County, OR",-117.3680555,44.4071743
"Baker","KEATING ELEMENTARY SCHOOL","FULL SCHOOL GRADES K-12","28",24,0.857142857142857,24,0.857142857142857,24,0.857142857142857,24,0.857142857142857,24,0.857142857142857,25,0.892857142857143,"28",24,0.857142857142857,24,0.857142857142857,4,0.142857142857143,4,0.142857142857143,4,0.142857142857143,4,0.142857142857143,4,0.142857142857143,4,0.142857142857143,4,0.142857142857143,3,0.107142857142857,4,0.142857142857143,3,0.107142857142857,0,0,0,0,0,"KEATING ELEMENTARY SCHOOL, Baker County, OR",-117.8339958,44.7776776
