"lon","lat","site"
-123.0614752,46.6290879,"P.O. BOX 148, ADNA, WA"
-123.0614752,46.6290879,"P.O. BOX 28, ADNA, WA"
-118.9408459,47.7109823,"PO BOX 217, ALMIRA, WA"
-117.4581504,47.9500142,"E. 1120 ""D"" STREET, DEER PARK, WA"
-119.9967079,46.2148534,"P.O. BOX 40, MABTON, WA"
-117.051983,46.3401308,"PO BOX 489, ASOTIN, WA"
-122.5425062,45.7814533,"PO BOX 200, BATTLE GROUND, WA"
-122.5788352,47.1236626,"AMERICAN LK AVE & CONCORD ST, LAKEWOOD, WA"
-122.831195,47.438901,"NE 22900 HWY 3, BELFAIR, WA"
-122.9076141,46.275111,"PO BOX 1911, CASTLE ROCK, WA"
-122.1505543,47.6255309,"14224 BEL RED RD (MAIL: 6236 122ND AVE SE BELLEVUE 98006-4445), BELLEVUE, WA"
-122.967245,46.9908519,"6345 BELMORE-BLACK LAKE ROAD, OLYMPIA, WA"
-119.7806166,48.0959784,"P.O. BOX 97, BREWSTER, WA"
-117.436552,47.664621,"N 910 ASH ST, SPOKANE, WA"
-117.1841585,47.66474,"16409 E BROADWAY AVE, SPOKANE, WA"
-122.8432069,47.0425079,"730LILLY RD SE, OLYMPIA, WA"
-121.9109017,47.6517943,"4950 TOLT AVE, CARNATION, WA"
-122.8623306,46.0715022,"PO BOX 3, CARROLLS, WA"
-122.2804736,47.0897451,"8615 182ND ST E, PUYALLUP, WA"
-121.8876722,45.698666,"350 NW ROOSEVELT ST., STEVENSON, WA"
-122.0910874,47.9746611,"8220 24TH ST SE, EVERETT, WA"
-122.1923191,47.6358188,"2125 122TH AVE NE, BELLEVUE, WA"
-119.0059218,47.9408751,"PO BOX F, GRAND COULEE, WA"
-122.5953399,48.8485763,"P.O. BOX 187, FERNDALE, WA"
-122.5571082,47.2074981,"9101 56TH AVE W, UNIVERSITY PLACE, WA"
-123.7917935,46.661696,"PO BOX 437, SOUTH BEND, WA"
-120.0168079,47.8408323,"PO BOX 369, CHELAN, WA"
-117.7150848,48.2777105,"PO BOX 47, CHEWELAH, WA"
-119.1989141,46.257449,"CHIAWANA HIGH SCHOOL, PASCO, WA"
-121.8887269,47.5673237,"BOX 639, FALL CITY, WA"
-122.7687353,48.0106006,"PO BOX 278, CHIMACUM, WA"
-122.2340447,48.4642735,"PO BOX 128, CLEAR LAKE, WA"
-118.2022917,48.1171945,"PO BOX 7, HUNTERS, WA"
-121.4864619,45.7276194,"PO BOX 1339, WHITE SALMON, WA"
-119.5394923,47.3174611,"60 H SE, EPHRATA, WA"
-118.8611117,46.6634733,"PO BOX 829, CONNELL, WA"
-122.3374543,48.4201105,"19710 STATE ROUTE 564, MOUNT VERNON, WA"
-122.207954,48.1519447,"P.O. BOX 128, NORTH LAKEWOOD, WA"
-122.1174865,47.5618552,"4630 167TH AVE SE, ISSAQUAH, WA"
-122.846783,46.4398305,"PO BOX 469, TOLEDO, WA"
