Address,Bldg No,exemptVSincomplete,School Type,Total Geogs,Category,City,Count,County,District Name,ESD,Enroll Text,Enrollment,Geography,Grade,Group,LL,Latitude,Longitude,Number of Records,Percent,Reliable,Reported,School Name,School Year,School District,State,Type,UL,Zip,Has6,Hask
2500 Lake Washington Bl,1534,exempt,PRIVATE,2764,Exemption,Renton,0,King,Renton,Educational Service District 121,Suppressed Data,0,School,K-12,Personal,0.0%,47.5144,-122.20502,1,0.0%,,1,Griffin Home,2018-19,Renton,WA,PRIVATE,0.0%,98056,1,0
871 NE Estes,802T,exempt,PRIVATE,2764,Exemption,White Salmo,0,Klickitat,White Salmon,Educational Service District 112,Suppressed Data,0,School,K-12,Personal,0.0%,45.73423,-121.48365,1,0.0%,,1,Little Oak Montessori School--2Nd Loca,2018-19,White Salmon Valley,WA,PRIVATE,0.0%,98672,1,0
13401 Bel Red Road,8933,exempt,PRIVATE,2764,Exemption,Bellevue,0,King,Bellevue,Educational Service District 121,0,0,School,K-12,Personal,0.0%,47.62257,-122.16167,1,0.0%,No,1,Dartmoor School--Bellevue,2018-19,Northshore,WA,PRIVATE,0.0%,98005,1,0
13300 NE 175th St,1406,exempt,PRIVATE,2764,Exemption,Woodinville,0,King,Northshore,Educational Service District 121,0,0,School,K-12,Personal,0.0%,47.56498,-122.00518,1,0.0%,No,1,Brightmont Academy--Sammamish Campus,2018-19,Lake Washington,WA,PRIVATE,0.0%,98029,1,0
10606 NE 14th St,8969,exempt,PRIVATE,2764,Exemption,Vancouver,10,Clark,Evergreen (Clark),Educational Service District 112,87,87,School,K-12,Personal,10.9%,45.63282,-122.56398,1,11.5%,Yes,1,Cascadia School,2018-19,Evergreen  (Clark),WA,PRIVATE,12.4%,98664,1,0
5027 159th Pl SE,8241,exempt,PRIVATE,2764,Exemption,Bellevue,2,King,Bellevue,Educational Service District 121,38,38,School,K-12,Personal,4.2%,47.55748,-122.12725,1,5.3%,Yes,1,Hillside Student Community School,2018-19,Bellevue,WA,PRIVATE,7.2%,98006,1,0
4800 139th Ave SE,8035,exempt,PRIVATE,2764,Exemption,Bellevue,2,King,Bellevue,Educational Service District 121,294,294,School,K-12,Personal,0.5%,47.5608,-122.15628,1,0.7%,Yes,1,Forest Ridge School Of Sacred Heart,2018-19,Bellevue,WA,PRIVATE,0.9%,98006,1,0
10015 28th Ave SW,8189,exempt,PRIVATE,2764,Exemption,Seattle,6,King,Highline,Educational Service District 121,108,108,School,K-12,Personal,5.1%,47.51291,-122.36921,1,5.6%,Yes,1,Explorer West Middle School,2018-19,Highline,WA,PRIVATE,6.3%,98146,1,0
10613 NE 38th Pl,8662,exempt,PRIVATE,2764,Exemption,Kirkland,8,King,Lake Washington,Educational Service District 121,455,455,School,K-12,Personal,1.6%,47.64367,-122.19909,1,1.8%,Yes,1,Eastside Preparatory School,2018-19,Lake Washington,WA,PRIVATE,1.9%,98033,1,0
232 228th Ave SE,8572,exempt,PRIVATE,2764,Exemption,Sammamish,20,King,Lake Washington,Educational Service District 121,870,870,School,K-12,Personal,2.2%,47.60877,-122.03537,1,2.3%,Yes,1,Eastside Catholic School,2018-19,Lake Washington,WA,PRIVATE,2.4%,98074,1,0
2640 Benson Rd S,8958,exempt,PRIVATE,2764,Exemption,Renton,0,King,Renton,Educational Service District 121,44,44,School,K-12,Personal,0.0%,47.4563,-122.20182,1,0.0%,Yes,1,Children'S Institute For Learning Diff,2018-19,Renton,WA,PRIVATE,1.7%,98055,1,0
7217 Woodlawn Ave NE,8530,exempt,PRIVATE,2764,Exemption,Seattle,5,King,Seattle,Educational Service District 121,95,95,School,K-12,Personal,4.8%,47.68051,-122.32479,1,5.3%,Yes,1,Billings Middle School,2018-19,Seattle,WA,PRIVATE,6.1%,98115,1,0
901 Lenora St,8674,exempt,PRIVATE,2764,Exemption,Seattle,3,King,Seattle,Educational Service District 121,83,83,School,K-12,Personal,3.1%,47.61708,-122.33697,1,3.6%,Yes,1,Morningside Academy,2018-19,Seattle,WA,PRIVATE,4.5%,98121,1,0
810 18th Ave,8299,exempt,PRIVATE,2764,Exemption,Seattle,1,King,Seattle,Educational Service District 121,115,115,School,K-12,Personal,0.6%,47.60931,-122.30883,1,0.9%,Yes,1,Lake Wa Girls Middle School,2018-19,Seattle,WA,PRIVATE,1.5%,98122,1,0
1415 Summit Ave,8573,exempt,PRIVATE,2764,Exemption,Seattle,15,King,Seattle,Educational Service District 121,510,510,School,K-12,Personal,2.8%,47.61313,-122.32559,1,2.9%,Yes,1,Northwest School,2018-19,Seattle,WA,PRIVATE,3.1%,98122,1,0
14050 1st Ave NE,8048,exempt,PRIVATE,2764,Exemption,Seattle,3,King,Seattle,Educational Service District 121,849,849,School,K-12,Personal,0.3%,47.7319,-122.32878,1,0.4%,Yes,1,Lakeside School,2018-19,Seattle,WA,PRIVATE,0.4%,98125,1,0
7861 Bucklin Hill Rd NE,8968,exempt,PRIVATE,2764,Exemption,Bainbridge,5,Kitsap,Bainbridge Island,Educational Service District 121,90,90,School,K-12,Personal,5.0%,47.62135,-122.54385,1,5.6%,Yes,1,Hyla Middle School,2018-19,Bainbridge Island,WA,PRIVATE,6.4%,98110,1,0
1925 South Bay Rd,1400,exempt,PRIVATE,2764,Exemption,Olympia,1,Thurston,North Thurston,Educational Service District 113,41,41,School,K-12,Personal,1.6%,47.06244,-122.86334,1,2.4%,Yes,1,Gospel Outreach,2018-19,North Thurston,WA,PRIVATE,4.3%,98506,1,0
2020 22nd Ave SE,8948,exempt,PRIVATE,2764,Exemption,Olympia,11,Thurston,Olympia,Educational Service District 113,103,103,School,K-12,Personal,10.1%,47.03009,-122.87248,1,10.7%,Yes,1,Nova School,2018-19,Olympia,WA,PRIVATE,11.5%,98501,1,0
1400 13th Avenue SW,4536,exempt,PUBLIC,2764,Exemption,Quincy,0,Grant,Quincy,Educational Service District 171,0,0,School,K-12,Personal,0.0%,47.22575,-119.87211,1,0.0%,No,1,Monument Elementary,2018-19,Quincy,WA,PUBLIC,0.0%,98848,1,0
8805 Steilacoom Blvd SW,3910,exempt,PUBLIC,2764,Exemption,Lakewood,0,Pierce,Clover Park,Educational Service District 121,15,15,School,K-12,Personal,0.0%,47.17911,-122.55451,1,0.0%,No,1,Oak Grove,2018-19,Clover Park,WA,PUBLIC,4.8%,98498,1,0
5909 Myers RD E,4132,exempt,PUBLIC,2764,Exemption,Bonney Lake,0,Pierce,Sumner,Educational Service District 121,0,0,School,K-12,Personal,0.0%,47.20539,-122.18947,1,0.0%,No,1,Lakeridge Middle School,2018-19,Sumner,WA,PUBLIC,0.0%,98391,1,0
