Address,Bldg No,exemptVSincomplete,School Type,Total Geogs,Category,City,Count,County,District Name,ESD,Enroll Text,Enrollment,Geography,Grade,Group,LL,Latitude,Longitude,Number of Records,Percent,Reliable,Reported,School Name,School Year,School District,State,Type,UL,Zip,Has6,Hask
33 E Snowden Rd,8595,exempt,PRIVATE,2764,Status,Odessa,0,Lincoln,Odessa,Educational Service District 101,No Report,0,School,K-12,Complete,0.0%,47.23592,-118.79295,1,0.0%,,0,Stahlville School,2018-19,Odessa,WA,PRIVATE,0.0%,99159,1,1
2194 N Schoonover Rd,8395,exempt,PRIVATE,2764,Status,Odessa,0,Lincoln,Ritzville,Educational Service District 101,No Report,0,School,K-12,Complete,0.0%,47.17664,-118.59845,1,0.0%,,0,Rock Creek Hutterite,2018-19,Ritzville,WA,PRIVATE,0.0%,99159,0,0
101 W 8th Ave,4286,exempt,PRIVATE,2764,Status,Spokane,0,Spokane,Spokane,Educational Service District 101,Suppressed Data,0,School,K-12,Complete,0.0%,47.6478,-117.413,1,0.0%,,1,Sacred Heart - A-2 Alternative,2018-19,Spokane,WA,PRIVATE,0.0%,99204,1,0
1505 E Grant Ave,806D,exempt,PRIVATE,2764,Status,Sunnyside,0,Yakima,Sunnyside,Educational Service District 105,No Report,0,School,K-12,Complete,0.0%,46.32094,-120.00217,1,0.0%,,0,Trinity Reformed Christian School,2018-19,Sunnyside,WA,PRIVATE,0.0%,98944,1,1
3500 SE 196th Ave,803O,exempt,PRIVATE,2764,Status,Camas,0,Clark,Camas,Educational Service District 112,No Report,0,School,K-12,Complete,0.0%,45.59556,-122.47322,1,0.0%,,0,Kids Unlimited Dba Tree Hill Learning,2018-19,Camas,WA,PRIVATE,0.0%,98607,0,0
871 NE Estes,802T,exempt,PRIVATE,2764,Status,White Salmo,0,Klickitat,White Salmon,Educational Service District 112,Suppressed Data,0,School,K-12,Complete,0.0%,45.73423,-121.48365,1,0.0%,,1,Little Oak Montessori School--2Nd Loca,2018-19,White Salmon Valley,WA,PRIVATE,0.0%,98672,1,0
408 A Craig Road,803J,exempt,PRIVATE,2764,Status,Packwood,0,Lewis,White Pass,Educational Service District 113,Suppressed Data,0,School,K-12,Complete,0.0%,46.62032,-121.69843,1,0.0%,,0,Cowlitz School At The Confluence,2018-19,White Pass,WA,PRIVATE,0.0%,98361,0,0
51 Harold Young Rd,804D,exempt,PRIVATE,2764,Status,South Bend,0,Pacific,South Bend,Educational Service District 113,Suppressed Data,0,School,K-12,Complete,0.0%,46.60985,-123.87239,1,0.0%,,0,Misson Creek Christian Education Cente,2018-19,South Bend,WA,PRIVATE,0.0%,98586,1,0
255 Medsker Rd,8315,exempt,PRIVATE,2764,Status,Sequim,0,Clallam,Sequim,Educational Service District 114,Suppressed Data,0,School,K-12,Complete,0.0%,48.10219,-123.09713,1,0.0%,,1,Mountain View Christian School,2018-19,Sequim,WA,PRIVATE,0.0%,98382,0,0
14600 NE 24th St,8292,exempt,PRIVATE,2764,Status,Bellevue,0,King,Bellevue,Educational Service District 121,No Report,0,School,K-12,Complete,0.0%,47.63159,-122.14577,1,0.0%,,0,Bellevue Children'S Academy,2018-19,Bellevue,WA,PRIVATE,0.0%,98007,0,0
435 108th Ave NE,803X,exempt,PRIVATE,2764,Status,Bellevue,0,King,Bellevue,Educational Service District 121,Suppressed Data,0,School,K-12,Complete,0.0%,47.61455,-122.19681,1,0.0%,,1,Big Brains Education,2018-19,Bellevue,WA,PRIVATE,0.0%,98004,0,0
14224 Bel Red Rd,804P,exempt,PRIVATE,2764,Status,Bellevue,0,King,Bellevue,Educational Service District 121,Suppressed Data,0,School,K-12,Complete,0.0%,47.62451,-122.15339,1,0.0%,,0,Bk Academy,2018-19,Bellevue,WA,PRIVATE,0.0%,98007,0,0
